7564 2
81626 -1.850957 -3.355864
16246 -3.515938 -4.731082
19729 -2.380665 -3.556165
29574 -4.983195 -6.487854
33045 -1.087308 -3.917046
47998 -6.336180 -5.345080
49453 11.296062 -6.773718
52148 -1.539963 -2.988340
53171 -1.510605 -2.990625
57478 -4.197046 2.158969
58947 -1.604170 -2.854631
65889 -15.379631 -17.062424
69807 -1.375771 -0.373411
71586 -3.984687 -9.965899
73498 -3.958410 -3.439781
77976 -1.399958 -3.512027
82175 -1.503723 -3.133877
82686 -4.544727 -4.527428
83197 -1.091368 -5.057787
86550 -1.712413 -3.564939
87044 2.144155 3.653266
90037 -4.095103 -4.693010
91476 -4.428236 -4.736720
93858 -7.034348 -8.630025
96866 -7.737406 -5.637057
100206 -7.064878 -4.438683
104817 0.508591 -2.147284
104841 -3.928054 -6.259933
105429 -2.845244 1.799471
106876 -5.086162 -3.439882
107009 0.540183 -8.783400
107254 -0.302979 -4.156027
14598 -1.621691 -3.939620
45620 -10.123576 -11.635973
46269 -6.449142 -9.966852
57427 -4.318672 -6.249303
59913 -13.088136 -13.317561
62327 -0.934058 -18.088518
93928 -11.348971 6.611184
95053 -3.907019 -6.288923
104056 -3.575475 -14.011374
4750 -4.809673 -3.260333
209 -3.448001 -3.946151
1631 -4.987345 -13.485996
1895 4.515960 -2.320048
5087 -5.767627 -9.757822
6088 -5.213507 -2.305095
8536 -3.998711 -2.327909
9412 -5.723717 -2.943074
10099 -9.191076 -14.346517
11699 1.907461 -16.261593
23802 -5.108595 -2.333194
32021 -2.662161 -27.783070
34036 -8.057762 -4.095770
46144 -4.285365 -11.382375
50279 -5.321828 -3.900936
51800 2.142140 -16.431574
52287 -3.916485 -8.015147
57702 1.948498 -16.322540
59122 -4.362953 -3.020678
60010 -4.761004 -0.773728
63527 -14.799472 -11.587665
64131 1.977642 -16.275124
64164 -3.214129 -4.076520
64623 -14.529393 -12.086223
66863 -3.437489 -3.504696
67236 -14.670324 -10.702207
70050 -5.129829 -2.562697
70665 -15.029840 -11.538091
72119 2.096282 -16.376720
74174 -3.832139 -4.263791
78851 -7.482861 -5.941674
80341 -4.689323 -3.215558
82037 -2.818610 -5.061975
82247 -3.690066 -2.977983
83259 -14.660097 -11.362578
83562 -12.453481 -4.646309
83824 -6.374043 -3.465259
85287 -5.747293 -3.785153
88584 -14.584289 -10.318614
88748 -7.393675 -6.252586
89766 7.222763 -4.701755
92915 -6.798378 -14.320576
95372 -15.374743 -12.482478
95641 -2.946581 -8.290092
96901 -4.712596 -2.962371
101244 3.053253 -9.810236
104422 2.087187 -16.423416
105341 -7.054778 -16.136810
105877 -2.481382 -1.558046
107534 -0.547168 -8.444944
7930 0.299207 -3.826130
14502 -2.995306 -3.601137
20850 -3.116467 -4.137658
44858 -2.343122 -3.959881
52169 -3.475623 -3.807600
62552 -3.270022 -3.831125
82995 -19.399435 -13.870676
98707 -0.633814 -13.351040
105046 -2.494710 -5.094001
60397 -5.280987 -0.043137
19503 -4.949292 -0.650142
24345 -15.244121 -6.582286
47236 -4.900830 -0.543472
47678 -2.195249 -4.612131
14074 -2.289196 -4.651961
55364 -8.769805 -4.025693
64715 -1.457785 -4.164341
86311 -24.033432 -7.651404
93492 -2.266120 -5.003443
94402 4.971334 -2.560578
97347 -2.609789 -4.552733
15263 -8.404478 -11.968879
89961 -24.279041 -7.566597
77574 -4.464986 -5.801222
7978 -4.342964 4.386191
15720 -4.793396 -6.023814
40976 -1.362505 -5.280877
63145 -3.903550 1.065796
86381 -4.673265 -5.904482
43456 -0.895888 1.862891
21570 -1.147895 2.269454
32417 -1.522109 2.232886
35142 -7.595596 -12.773582
53423 -1.523643 1.583177
55966 -0.690638 1.848258
66664 -1.097823 1.932596
66689 -0.596056 1.689372
68851 -1.017578 0.926074
75493 -0.554533 1.761001
75562 -0.704126 1.986859
77734 -0.733506 1.886747
86234 -0.783188 1.835710
91426 -0.774788 1.837289
96139 -0.993012 1.769914
8710 2.327622 -11.297635
13857 -1.165725 -3.956548
18230 -12.728138 -17.079493
18367 -4.297026 7.177679
25922 -1.838039 2.147593
29976 -4.806314 -6.570599
38139 -1.234960 -3.292251
42608 2.295945 -11.287639
47011 2.336296 -11.253993
48710 1.831649 -16.026577
50506 -4.027509 7.054042
51275 -2.885539 7.236647
58470 2.062893 -11.758874
63545 -0.124424 3.854926
69920 -3.738252 -6.681529
72461 -2.498580 4.199968
76872 -0.645949 2.069662
99870 2.448706 -15.331966
4853 6.700380 1.043933
10185 0.726032 7.468138
15975 -0.884498 1.931470
18695 -1.181255 0.736980
18705 7.351849 0.803819
19465 -0.292849 -19.846052
23835 -1.381881 2.205530
27130 -4.375871 9.724837
27537 -2.594861 2.377191
35487 -9.317655 -6.374071
41003 1.941336 3.176888
46066 -5.260931 -10.999532
54119 -0.085829 -3.028110
54165 -2.619470 2.177635
58382 -0.871826 1.740750
88202 -1.317894 0.916642
91898 6.458929 -2.212586
94695 -2.919614 2.822779
96583 0.824661 7.241071
86764 -1.009995 0.218188
5541 -3.741121 3.173022
11174 4.082754 -1.086717
13764 -1.494749 -25.476646
15113 -3.181146 -9.496996
15439 -7.107739 -10.674974
17489 -1.182812 0.082343
18024 -2.930090 -0.949104
20295 -3.966548 1.327030
22757 2.057464 -0.317359
40820 -2.824676 2.632583
40831 -0.272567 -0.125569
55660 -0.604351 5.603857
60818 -1.905923 0.476500
62345 -1.182335 0.255385
65562 -0.585508 0.100746
67072 -2.326819 -0.157513
68298 -0.751454 0.005779
73687 -0.892103 0.202394
79603 -1.316120 0.479444
85802 -16.307983 5.199492
88227 -1.049064 0.467651
93429 1.650161 0.121685
98978 -0.338068 -0.036626
100773 4.040863 -0.863418
40634 -4.691938 -0.742174
9238 -4.679203 -0.612755
24031 -4.852720 -0.931591
27024 -4.626641 -0.740229
30775 -4.729035 -0.978372
40435 -4.699876 -0.745010
48528 -4.693851 -0.615840
89615 -4.566300 -0.562435
95831 -10.761463 -3.625564
9131 -10.139033 -18.355536
11029 -1.995063 0.102626
30079 -3.093937 1.440561
50625 -4.895985 -0.748792
67777 -7.192224 -8.788846
79754 4.105442 -8.851413
83984 -4.733973 0.779422
85146 -1.590257 -3.429988
88091 -4.744770 -0.487774
27693 -1.513755 -25.474478
100048 -1.493843 -25.494808
102741 2.515322 2.698356
8416 -8.154819 -12.439133
17942 2.732451 2.739894
32438 -8.259002 -16.154419
70112 3.009300 2.699694
73647 -0.876120 -7.319758
85822 1.992549 2.713813
105058 -1.109339 3.637642
34964 -6.751983 -1.873222
38533 -11.749057 -20.764637
56272 -1.179011 3.833284
70939 -1.953152 -9.307429
85351 -1.217648 3.803799
96716 -1.467673 3.776867
101213 -0.659979 -8.097426
105594 -2.558532 -7.871256
106784 2.960272 -9.643880
107201 -1.177895 3.832638
12042 0.058480 3.793915
41212 -3.003787 -5.177026
78348 -24.826937 -8.114589
34311 -1.196702 -2.503282
2394 -2.221013 -2.508722
7583 -1.491431 -2.417186
78721 -0.927759 -3.483622
104609 -0.031628 -3.888209
107885 4.317599 -1.710775
41495 6.670479 3.997392
915 6.821832 3.986238
1644 6.985088 3.845651
8355 8.407778 4.084002
8448 6.810846 3.994160
20950 7.076665 4.169316
26311 6.822338 -4.168355
38468 -0.277561 -7.294742
42141 6.713550 4.069016
46317 7.680943 -8.573828
48259 6.818929 3.996071
60878 2.885920 -1.551176
64225 6.447445 4.385428
67903 -6.310423 -17.231529
68163 6.826068 3.988440
73862 5.973544 3.728749
81727 6.047304 3.763632
81964 6.807152 3.992187
85028 4.526202 -0.152839
89785 5.075748 4.449883
100639 3.655246 6.901015
103104 4.354532 -2.183197
11428 5.890230 5.700620
36134 4.723187 4.527587
44557 4.903538 4.508076
52526 -4.217488 -7.579225
64685 5.083003 -0.670286
73177 4.731370 4.438298
100038 -24.387852 -6.339091
5254 6.028969 -0.466062
9053 7.089530 1.202684
9991 -3.073520 6.814487
15193 6.897676 3.597158
15778 -4.493383 -10.865271
16847 7.062049 1.055442
22843 6.280949 1.173519
26002 -0.774247 -3.506035
30365 0.029264 -3.586114
43581 7.286864 0.738443
44000 -1.837187 4.146791
54380 -1.887007 -4.263831
55823 -7.965695 10.028114
60432 7.610177 1.219275
61712 -4.447527 7.204089
66384 -1.952546 -3.710805
71205 0.379971 -13.997428
79281 7.196980 1.143384
86464 -4.844014 -6.229540
89030 1.899070 -4.311534
89665 7.329723 0.943110
94771 -12.535894 0.337091
4112 -26.630089 -5.935365
5328 9.961953 0.272286
19938 -3.497746 4.025939
21234 -1.552585 4.360746
21783 -3.274038 3.085984
23334 -1.802388 4.309598
28967 -2.445478 4.778146
31058 -1.792010 4.010088
32836 -13.956691 -3.266700
34719 -1.524544 4.272166
43779 -1.487484 4.133819
52364 -5.490951 -9.818177
61514 -1.306723 4.158114
61935 1.133612 5.202345
69953 -2.316587 4.549029
91744 -4.980129 4.920029
94275 2.739584 -19.262238
94369 -2.080669 4.169841
106502 -0.959673 -4.150618
3483 -0.003032 -2.230319
3526 -7.298911 -4.214232
3881 0.406754 -2.383383
6121 -6.584954 -4.551108
6292 -2.582880 -3.303683
7524 -2.801811 -3.501118
13402 -5.327722 -2.612878
19436 12.925091 -9.226899
21385 -7.096951 -4.454883
22642 -7.626557 -4.485373
28226 -4.763088 -7.425406
33182 -5.604894 -2.722301
33269 -5.858099 -2.943993
33410 -0.474944 -1.470629
34770 -7.203657 -4.239918
35888 -6.949885 -4.723233
36022 13.104334 -9.414442
42390 -3.451257 -12.999356
43339 -3.233249 -3.329857
43937 -15.700310 -6.275162
44753 -6.518784 -2.029504
45101 10.505060 -6.070575
47807 -5.403893 -3.949324
51028 -4.124428 -1.944159
53588 13.703410 -10.025322
54819 -1.314289 -5.510327
55680 -0.655090 -1.621606
56672 0.316663 -4.141847
63645 -0.162469 -4.058067
63967 -0.203729 -4.255720
65060 -15.567229 -6.279263
71668 -4.309963 -1.321808
74451 -0.776595 -1.490307
76163 -2.168730 -3.104431
76704 -4.934853 -4.271643
83876 -6.396739 -4.960503
87546 3.414944 9.399467
92075 -15.333927 -6.488314
93573 13.028440 -9.375517
101196 13.053102 -9.392475
101910 12.962355 -9.245816
103979 -1.182130 -6.473045
105312 -0.361407 -4.567677
105473 -5.519855 -10.516637
105945 -7.292251 -4.128409
107373 -19.379347 -13.890192
47799 2.538891 -1.754331
25516 -0.068239 -3.102395
37882 -2.607536 -2.947553
43408 4.960644 -1.735027
45271 2.890056 -0.017325
99596 2.116808 -2.605065
12265 -11.168417 -14.999483
27111 -5.623797 -15.006034
27577 -19.281435 -14.021088
29350 -8.145262 -12.062490
40424 -3.451329 -6.744911
